SrNo,Name Of the Program,Type of Course,Code,Need,Description of the need
192,BSc (Microbiology),Diagnostic Microbiology,UGMBSEC-4018,"Local, Regional, National and Global",Students will understand the diagnostic cycle of the sample obtained from the patientand quality control and clinical laboratory management in great depths.
193,BSc (Microbiology),Microbiology Practicum,"UGMBP 401.2,402.2 &
403.2",National and Global,Students will apply the knowledge of basic analytical techniques and microbiology techniques that is relvant from glocal to local level
194,"BSc
(Microbiolol!V)",Microbial Genetics -I,UGMBS0l,National and Global,Students will understand the various molecular mechanisms that occurs in all living organisms.
195,BSc (Microbiology),Medical Microbiology and Immunology I,UGMB502,National and Global,"Students will be able to understand indepth in medical
microbiology and immunology from local to global perspective."
196,BSc (Microbiology),Microbial Biochemistry-I,UGMB503,National,Students will be able to understand various biological metabolism and its application in industrial level
197,BSc (Microbiology),Industrial Microbiology and Bioprocess Technology,UGMB504,National and Global,Students will understand various aspects related to industrial bioprocess technologies at local to global level
198,BSc (Microbiology),Concepts in Biotechnology,UGECBT 501,National and Global,"Students will understand various tools and techniques used in genetic engineering and their application in industries. In addition the learners will also learn IPR, its relevance at local
to global level."
199,BSc (Microbiology),Microbiology Practicum,UGMBP501,National and Global,Students will apply all the knowledge gained in carrying out various techniques relevant from local to global level.
200,BSc (Microbiology),Microbial Genetics -II,UGM8601,National and Global,"Students will learn various techniques related to recombinant DNA technologies and undertsand basics of virology.
Additionally learners will understand various techniques to analyses and diagnosis medically relevant viruses that are relevant from local level to global level."
201,BSc (Microbiology),Medical Microbiology and Immunology -II,UGMB602,National and Global,Students will be able to learn about various etiological agents and various control measures that are relevant from local to global level. Additionally learners will also gain indepth knowledge on various factors involved in immune systems
202,BSc (Microbiology),"Microbial Biochemistry -
II",UGMB603,National,Students will be able to understand metabolisms and molecular regulation of various biomolecules
203,BSc (Microbiology),"Bioprocess Technology: -
II",UGMB601,Global,"Students will learn various aspects ofbioproces technologies and basics of quality control and quality assurance relevant
from local to global level."
204,BSc (Microbiology),Applied Biotechnology,UGECBT601,Global,Students will understand various fundamentals fields of biotechnology and learn various aspects of microbial ecology and industrial microbiology relevant local to global level.
205,BSc (Microbioloe:v),Microbiology Practicum,UGMBP601,Local and Rel?ional,Students will apply all the techniques that covers major aspects and areas of microbiolol!V
206,BSc (Physics),Mechanics - 1,UGPH101,National,"Mechanics principles assist in designing and optimizing
energy systems such as turbines, generators, and renewable enerl!V devices."
207,BSc (Physics),Mechanics - II,UGPH102,National,"Mechanics principles assist in designing and optimizing energy systems such as turbines, generators, and renewable
enernv devices."
208,BSc (Physics),Physics Practical I,UGPHP0l,National,"Mechanics principles assist in designing and optimizing energy systems such as turbines, generators, and renewable energy devices."
209,BSc (Phvsics),Electricity,UGPH201,National,Understand electrostatics and dielectrics.
210,BSc (Physics),Magnetism & EMT,UGPH202,National,Principles of EMT are  vital for understanding and developing renewable energy sources such as solar panels and wind turbines.
211,BSc (Physics),Physics Practical II,UGPHP02,National,Principles of EMT are  vital for understanding and developing renewable energy sources such as solar panels and wind turbines.
212,BSc (Phvsics),Thermal Phvsics,UGPH301,National,Understand the laws ofthermodvnamics.
213,BSc (Physics),Statistical Mechanics,UGPH302,National,Understand the theorv of Radiation.
214,BSc (Phvsics),Dilrital Circuits,UGPH303,National,Arithmetic & Data Processinl? Circuits.
215,BSc (Physics),Physics Workshop Skills (SECl),UGPH304,National,Develop Electrical and Electronic Skills.
216,BSc fPhvsics),Physics Practical III,UGPHP03,National,Develop Electrical and Electronic Skills.
217,BSc (Phvsics),Waves & Oscillations,UGPH401,National,Understand the properties of sound and waves.
218,BSc (Physics),Wave Optics,UGPH402,National,Understand the orooerties of sound and waves.
219,BSc (Phvsics),Analog Circuits,UGPH403,National,Applications of Op-Amp and Instrumentation
220,BSc (Physics),Computational Physics Skills fSEC2),UGPH404,National,"Perform the algorithms, flowcharts and scientific programming."
221,BSc (Physics),Physics Practical IV,UGPHP04,National,"Perform the algorithms, flowcharts and scientific programming."
222,BSc fPhvsics),Mathematical Physics,UGPHS0l,National,Error analysis.
223,BSc (Physics),Solid State Physics,UGPHS02,National,"Solid State Physics contribute to the development of materials for defense applications, including sensors, protective coatings, and advanced materials for weaponry."
224,BSc (Physics),Electrodynamics and Electronics,UGPHS03 (A),National,Students will learn dielectric properties of materials.
225,BSc (Phvsics1,Aoolied Phvsics,UGPHS03 (81,National,Environmental Phvsics
226,BSc (Physics),Electrical Circuits & Network Skills,UGPHSEC3,National,"Electrical circuit skills are vital for integrating renewable energy sources like solar panels and wind turbines into the
electrical grid."
227,BSc (Physics),Basic Instrumentation Skills,UGPHSEC4,National,Develop basic instrumentation skills.
228,BSC (Chemistry),Chemistry -V,UGCH-301,Global,Understanding inetics of different reactions
229,BSC (Chemistry),Chemistry-VI,UGCH-302,National,Understanding inetics of different reactions
230,BSC (Chemistry),Chemistry-VII,UGCH-303,Global,Introduction to pharma industry by studying regulations to usage of drugs
231,BSC (Chemistry),Chemistry -VIII,UGCH-401,Local,"Study of periodic table for detection of elements in unknown
cmpounds"
232,BSC (Chemistry),Chemistry-IX,UGCH-402,National,Introduction to green chemistry
233,BSC (Chemistry),Chemistry-X,UGCH-403,Global,Analysis of commercial samples for its Quality
234,BSC (Chemistry),Physical Chemistry,UGCH501,Regional,Usage of modern sophasticated methods for analysing the material chemistry
235,BSC (Chemistry),Inorganic Chemistry,UGCH502,National,"Understanding the periodicity of properties in theperiodic
table"
236,BSC (Chemistry),Organic Chemistry,UGCH503,Local,Understanding the mechanism of organic reactions for new synthesis
237,BSC (Chemistry),Analytical Chemistry,UGCH504,National,Introduce students to new instrumental techniques
238,BSC fChemistry),Drug&Dves,UGCHDD501,Regional,Introduction to Dyes and  its applications
239,BSC (Chemistry),Physical Chemistry,UGCH601,Local,Understanding kinetics behind renewable energy sources
240,BSC (Chemistry),Inorganic Chemistry,UGCH602,National,Understanding the theory behind chemical bonding
241,BSC (Chemistry),Organic Chemistry,UGCH603,Global,Introduction to photochemistry and its mechanism
242,BSC (Chemistry),Analytical Chemistry,UGCH604,National,Understanding of cosmetic analysis
243,BSC (Chemistry),Drug & Dyes Practicals,UGCHDDP501,Local,General Introduction of Discovery of Drugs
244,BSC (Chemistry),Drug&Dyes,UGCHDD601,National,General Introduction of Discovery of Drugs
245,BSC (Chemistry),Drug & Dyes Practicals,UGCHDDP601,National,General Introduction of Discovery of Drugs
246,BMS,Principles of Management,UGBMSCC101,Region!,Students will be able to inculcate efficient practices
247,BMS,Business Statistics,UGBMSCC102,Local,Students will be able to analyse data for business decisions
248,BMS,Introduction to Financial Accounts,UGBMSCC103,National,Students will be able to strategic financial decision making
249,BMS,"Business
Communication-I",UGBMSAECC104,Global,Student will be able to develop awareness of complexity of communication process
250,BMS,Foundation Course-I,UGBMSAECC105,National,Students will be able to describe nature of inequality and causes and conseauences on the societv
251,BMS,Business Law,UGBMSGEC106A,Global,Students are able to appriciate the application of contractual obligations in different practical situations
252,BMS,Foundation of Human Skills,UBMSGEC106B,National,"Analyse the  basic behaviour pattern of human, which are important for business."
253,BMS,Principles of Marketing,UGBMSCC201,National,"Discuss the  techniques about how to identify, understand and satisfy the needs of customers and markets."
254,BMS,Business Mathematics,UGBMSCC202,Global,"Evaluate conceots & calculate interest & annuitv,"
255,BMS,Business Economics-I,UGBMSCC203,National,Demonstrate knowledge and proficiency in the overall foundations of an economy.
256,BMS,Business Communication-II,UGBMSAECC204,Global,"Developing the
implication-based understanding of
Paraphrasing, deciphering instructions, interpreting £ruidelines."
257,BMS,Foundation Course-II,UGBMSAECC205,Local,"Understand concepts of Liberalisation, Privatisation and Globalisation and its impact on employment & society,"
258,BMS,Industrial Law,UGBMSGEC206A,National,"Focus on the laws relating to Industrial Relations, Social Security and Workin2 conditions."
259,BMS,Business Environment,UGBMSGEC206B,Regional,"Provide information about Foreign Trade, International Organisations, Global Strategies, MNCs"
260,BMS,Foundation Course -III ( Environmental Management),UGBMSCC301,Global,"Develop an activity using various strategies to control, reduce and  monitor all environmental problems that might arise as a result"
261,BMS,Business Planning and Entrepreneurial Management ,UGBMSCC302 ,Global ,Understand the basic concepts of Entrepreneurship to budding managers.
262,BMS,Accounting for Managerial Decisions,UGBMSCC303,National,Equip management learners with basic Accounting Fundamentals for making Business decisions
263,BMS,Information Technology in Business and Management-I,UGBMSSEC304A,Local,Illustrate basic concept of Information Technology its support and role in Management for managers
264,BMS,Financial Software,UGBMSSEC304B,National ,Equip management learners with basic Accounting ledgers with the help of technology.
265,BMS,Consumer Behaviour,UGBMSGEC305M ,Global ,Able to explain the basic concepts and models of consumer behavior.
266,BMS,Advertising,UGBMSGEC306M ,Local ,The student assesses the economic and social aspects of advertising
267,BMS,Basics of Financial Services,UGBMSGEC305F ,Local ,Describe various types of insurance contracts and their uses in financial services
268,BMS,Corporate  Finance,UGBMSGEC306F ,Local ,Understand Sources of finance in corporate
269,BMS,Recruitment and Selection,UGBMSGEC305H,National,Familiarized with concepts and principles of Recruitment and Selection in an organization. •
270,BMS,Motivation and Leadership,UGBMSGEC306H,Region,Familiarise knowledge of the  leadership strategies for motivating people and changing onranizations.
271,BMS,"Foundation Course
(Ethics & Governance) - IV",UGBMSCC401,Local,Understand emerging trends and growing importance of good Governance and CSR by organisations
272,BMS,Business Research Methods,UGBMSCC402,National,"Understand and apply research approaches, techniques and
strategies in the appropriate manner for managerial decision making."
273,BMS,Production & Total IOualitv Management,UGBMSCC403,Global,Demonstrate the tools and techniques of quality management to manufacturing and services
274,BMS,Information Technology in Business and Management-II,UGBMSSEC404A,National,Describe the role of Information Technology and Information Systems in Business.
275,BMS,Research Software,UGBMSSEC404B,Local,Describe the role ofresearch ethics and Information Systems in Business.
276,BMS,Integrated Marketing Communication,UGBMSGEC40SM,Region!,"Understand the principles and practices of marketing communications, involving tools used by marketers to inform
consumers"
277,BMS,Rural Marketing,UGBMSGEC406M,National,Know the  agriculture & rural marketing environment so that they understand consumer & marketing characteristics
278,BMS,Auditing,UGBMSGEC40SF,Global,Explain the  learner to get acquainted with the various concepts of Auditine.
279,BMS,Strategic Cost Management,UGBMSGEC406F,Region!,Analyse new ways and methods for cost control and cost management
280,BMS,"Human Resource Planning and Information System
(HRP & IS)",UGBMSGEC40SH,Local,Explores different factors that managers should consider while making decisions in developing their human resources plans
281,BMS,Training and Development in HRM,UGBMSGEC406H,National,"Understand the  managerial performance and ability to observe, interpret the issues and modify employee's approach and  behaviour."
293,BMS,"Strategic Human
Resource Management and HR Policies.",UGBMS502H,National,Discuss strategic concepts and theories and their application in marketing environments.
294,BMS,"Performance
Management and career olanning",UGBMS503H,Global,Enhance their skills in setting clear expectations and objectively measuring individual performance using objectives and comoetencies as kev measures
295,BMS,Industrial Relations,UGBMS504H,National,"Define labor relations, industrial relations systems, and participatory processes at work"
296,BMS,Operation Research,UGBMS605,Global,Interpret and apply the results of an operations research model to an oriranisation.
297,BMS,International Finance,UGBMS601F,Local,Gain basic knowledge of how international financial markets work
298,BMS,Innovative Financial Services,UGBMS602F,National,To familiarize with fundamental aspects of various issues associated with various financial services.
299,BMS,Project Management,UGBMS603F,Region!,Understand comprehensive overview of Project Management as a separate area of Management .Familiarise the relation between project management and organizational structure.
300,BMS,Strategic Financial Management,UGBMS604F,Global,"Understand the basic concept, functions of techniques of financial management such as dividend policy, advance techniques of capital budgeting."
301,BMS,Brand Management,UGBMS601M,Global,To Define and Examine brand concepts used by Companies by discussing the rationale for the application
302,BMS,Retail Management,UGBMS602M,National,"Aware of the various legal & ethical aspects of retail
management"
303,BMS,International Marketing,UGBMS603M,Local,Understand the relevance of International Marketing Mix decisions and recent developments in Global Market
304,BMS,Media Planning and Management,UGBMS604M,National,"Promotion being one of the  pillars of marketing, choosing which media or type of advertising to use, especially for challenging firms with limited budgets & know-how"
305,BMS,HRM in Global perspective,UGBMS601H,Global,A career in diverse sectors of the industry domestically and l!loballv
306,BMS,Organisational Develooment,UGBMS602H,National,Understand the concept of Organisational Development and its Relevance in an ornanisation
307,BMS,HRM in Service sector management,UGBMS603H,Local,To understand the significance of human element in creating customer satisfaction through service oualitv
308,BMS,Human Resource Accounting &Audit,UGBMS604H,National,Familiarise the process and approaches of Human Resources Accounting
309,BMS,Project work (Internship),UGBMS606,Global,To get familiarise students with organisation working environment
310,BSc(lnformation Technology),Discrete Mathematics,UGIT101,Local,"Discrete mathematics is used to study the complexity of algorithms, solving problems. It is perform tasks such as
sorting, searchin£. and optimization."
311,BSc(lnformation Technology),Discrete Mathematics Practical,UGITlPl,Local,"Discrete mathematics provides stucture such as logic, set theory, and graph theory are essential for understanding algorithms, data structures."
312,BSc(lnformation Technology),C++ with OOPs,UGIT102,National,"Implement real-world entities like inheritance, hiding, polymorphism. The main aim of OOP is to bind together the data and the functions that operate on them so that no other part of the code can access this data except that function."
313,BSc(lnformation Technology),C++ with OOPs Practical,UGIT1P2,National,OOP can also be used in manufacturing and designing applications as it allows people to reduce the efforts involved.
314,BSc(Information Technology),English Communication Skill,UGIT103,Local,"English language learning will allow you to communicate effectively with people from all over the world, making travelling a lot easier and helping you to learn more about
different cultures."
315,BSc(lnformation Technology),Green Computing,UGIT104A,Global,"Reducing the environmental impact of technology. That
means using less energy, reducing waste and promoting sustainability."
316,BSc(Information Technology),Green Computing Practical,UGIT1P4A,Global,They also focus on reducing resource use and properly disposing of electronic waste.
317,BSc(Information Technology),Basic Computer Skills and Effective Internet Skills,UGIT1048,Regional,"It is a usages of a computer managing computer files, word processing, using spreadsheets and databases.Understand how to navigate using a browser."
318,BSc(lnformation Technology),"Basic Computer Skills and Effective Internet
Skills Practical",UGIT1P48,Regional,"To understand basic computer skills like email, Microsoft Office, and internet navigation."
319,BSc(lnformation Technology),Numerical and Statistical Methods,UGIT201,National,"It is techniques to approximate Mathematical procedures.statistics is manipulation of data, including ways to gather, review, analyze, and draw conclusions from the
given data."
320,BSc(Information Technology),Numerical and Statistical Methods Practical,UGIT2P1,Local,"Branch of science that deals with the collection, organisation,
analysis of data and drawing of inferences from the samples to the whole population."
321,BSc(lnformation Technology),Operating Systems,UGIT202,National,Manages all of the software and hardware on the computer.
322,BSc(lnformation Technology),Operating Systems Practical,UGIT2P2,National,"It performs basic tasks such as file, memory and process management, handling input and output, and controlling peripheral devices such as disk drives and printers."
323,BSc(Information Technology),Life and Employability Skills,UGIT203,Regional,"Getting along with and working well with other people, such as communication skills and other interpersonal skills."
324,BSc(lnformation Technology),Web Programming and Designing,UGIT204A,Global,"Is the process of planning, conceptualizing, and implementing the  plan for designing a website in a way that is functional and offers a good user experience."
325,BSc(Information Technology),Web Programming and Designing Practical,UGIT2P4A,Global,"The process of creating websites. It encompasses several
different aspects, including webpage layout, content production, and graphic desiim."
326,BSc(lnformation Technology),E-commerce,UGIT204.18,Local,Ecornrnerce is a method of buyingand selling goods and services online.
327,BSc(lnformation Technology),E-Commerce Practical,UGIT2P4.18,Local,"Provides real-time data and analytics about products and customers. Exploring how people interact with the site, what
products interest them."
328,BSc(Information Technology),Applied Mathematics,UGIT301,Global,"The application of mathematics to problems which arise in various areas, e.g., science, engineering or other diverse areas, and/or the development of new or improved methods to meet the challenges of new problems."
329,BSc(Jnformation Technology),Applied Mathematics Practical,UGIT3P1,Global,"The application of mathematical methods by different fields
such as physics, engineering, medicine, biology, finance, business, computer science, and industry."
330,BSc(lnformation Technology),"Computer Graphics and
Animation",UGIT302,National,The art of creating moving images via the use of computers.
331,BSc(lnformation Technology),Computer Graphics and Animation Practical,UGIT3P2,National,Also known as digital animation -    is a form of computer- generated imagery (CGI) that focuses on moving images.
332,"BSc(Information
Technology)",Database Management System,UGIT303,Global,"Are software systems used to store, retrieve, and run queries on data."
333,BSc(lnformation Technology),Database Management System Practical,UGIT3P3,Global,"It is essentially nothing more than a computerized data- keeping system.such a system for either manipulation of the data in the database or the management of the database
structure itself."
334,BSc(Information Technology),Linux System Administration Practical,UGIT3P4A,Regional,"Setting up, configuring, and managing a computer system in a Linux operating system software environment"
335,"BSc(Information
Technolol?V1",Core Java Practical,UGIT3P48,Regional,Developing or creating a general-purpose app.
336,"BSc(lnformation
Technolol?V1",Web Technology,UGIT305A,Global,Network applications accessible over the internet
337,BSc(lnformation Technology),Web Technology Practical,UGIT3PSA,Global,"This makes development and troubleshooting much easier
and for web aoolications"
338,BSc(lnformation Technology),Research Methodology,UGIT305B,National,"Research improves services and treatments not just for you
but also for future generations. It helps develop new tests for diagnosis, treatments."
339,BSc(lnformation Technology),Research Methodology Practical,UGIT3P58,National,A much more reliable source of knowledge than most of our other ways of knowing
340,BSc(Information Technology),Computer Oriented Statistical Techniques Practical,UGIT4P1,Global,"Statistics are used in business to detect market trends and sales results,"
341,BSc(Information Technology),Python Programming,UGIT402,Regional,"Python is extensively applied in data science, data analysis, machine learning, data engineering, web development,
software development, and other fields."
342,BSc(Information Technology),Python Programming Practical,UGIT4P2,Regional,"Python is commonly used for developing websites and software, task automation, data analysis, and data visualisation."
343,"BSc(Information
TechnoloS?V)",Data Structures,UGIT403,Global,Organizing data in a specialized format on a computer
344,BSc(lnformation Technology),Data Structures Practical,UGIT4P3,Global,Improve the performance of web applications.
345,BSc(Information Technology),"Introduction to
Embedded System Practical",UGIT4P4A,Global,"Use consumer, industrial, automotive, home appliances,
medical, telecommunication, commercial, aerospace and military applications"
346,"BSc(Information
Technology)",Enterprise Java Practical,UGIT4P48,Global,Application development in enterprise-scale software.
347,BSc[Information Technology),Supply chain Management,UGIT405A,National,Orchestrating the intricate web of activities involved in the movement of goods and services from suppliers to customers.
348,"BSc(lnformation
Technology)","Supply chain
ManaJ?ement Practical",UGIT4P5A,National,Well-functioning supply chain will grow significantly.
349,BSc(lnformation Technology),Statistical tools in Research,UGIT4058,Global,Helps us gauge uncertainty and make plans when given incomplete information by collecting a sample of information
350,"BSc(Information
Technology)",Statistical tools in Research Practical,UGIT4P58,Global,"Gives meaning to the meaningless numbers, thereby breathing life into a lifeless data."
351,BSc(Information Technology),Software Quality Assurance,UGIT501,Global,"It enables organizations to deliver high-quality software, meet user expectations."
352,BSc(Information Technology),Software Quality Assurance Practical,UGIT5P1,Global,"Improving quality, reducing costs, and enhancing overall project outcomes."
353,BSc(Information Technology),Computer Networks,UGIT502,Local,"Computer networks are fundamental to modern society, impacting how we communicate, work"
354,BSc(Information Technology),Computer Networks Practical,UGIT5P2,Global,Impacting various aspects of our daily lives and contributing to the efficiency
355,"BSc(Information
Technology)",Advanced Web Programming,UGIT503,Global,"Particularly in the context of developing robust, scalable, and feature-rich web annlications."
356,BSc(Information Technology),Advanced Web Proirramming Practical,UGIT5P3,Regional,"Valuable in creating high-performance, secure, and user- friendly"
357,BSc(lnformation Technology),Internet of Things,UGIT504,National,"Valuable in creating high-performance, secure, and user- friendly"
358,BSc(lnformation Technology),Internet of Things Practical,UGIT5P4,Global,"Extend across diverse sectors, leading to improved efficiency, cost savings, enhanced services"
359,BSc(Information Technology),Artificial Intelligence,UGIT505,National,"Positively impacting various aspects of our lives and industries, drivine innovation and efficiency."
360,BSc(Information Technology),Artificial Intelligence Practical,UGIT5P5,Regional,"Improve decision-making, and drive innovation across various sectors."
361,BSc(Information Technology),Enterprise Java,UGIT506,Regional,"The demands of large-scale, mission-critical applications in the enterprise environment"
362,BSc(lnformation Technology),Enterprise Java Practical,UGIT5P6,Local,Widely adopted in the business and enterprise world for many years.
363,BSc(Information Technology),Next Generation Technologies,UGIT507,Regional,"It's important to consider ethical, privacy, and security
implications as these technologies become more integrated into daily life."
364,BSc(Information Technology),Next Generation Technologies Practical,UGITSP7,Local,"Next-generation technologies have the potential to transform industries, improve efficiency, and enhance the overall quality of life"
365,BSc(Information Technology),Project,UGIT601 ,Global ,Solving a Problem: Many projects are initiated to address specific problems or challenges.
366,BSc(Information Technology),Security in Computing,UGIT602 ,Global ,"Security in computing is essential for safeguarding individuals, organizations,and societies"
367,BSc(Information Technology),Security in Computing Practical,UGIT6P2 ,Regional ,"It plays a crucial role in safeguarding information, systems, and networks from various threats."
368,BSc(Information Technology),Business Intelligence,UGIT603,Regional,Helping organizations make informed decisions and gain a competitive edge.
369,BSc(Information Technology),Business Intelligence Practical,UGIT6P3,National,"It transforming raw data into actionable insights, driving better decision-making, and positively impacting various aspects of a business in the real world."
370,BSc(Information Technology),Principles of Geographic Information Systems,UGIT604,Global,"Play a crucial role in various sectors and industries, providing valuable tools for analyzing, interpreting, and visualizing spatial data."
371,BSc(Information Technology),Principles of Geographic Information Systems Practical,UGIT6P4,Regional,"The principles of GIS translate into practical benefits by providing a powerful framework for spatial analysis, data integration, decision support, and visualization across a wide range of real-world applications."
372,BSc(Information Technology),Enterprise Networking,UGIT605,Global,"Facilitates seamless communication within an organization. Employees can easily communicate with each other through email, instant messaging, and collaborative tools."
373,BSc(Information Technology),Enterprise Networking Practical,UGIT6PS,Global,"It contribute to efficient communication, resource utilization, security, scalability, cost savings, and overall business continuity."
374,BSc(Information Technology),IT Service Management,UGIT606,National,"IT Service Management (ITSM) provides numerous benefits in the real world, helping organizations effectively manage and deliver IT services."
375,BSc(Information Technology),Advanced Mobile Programming Practical,UGIT6P6,Local,"There are applications that make communication easiest
Voice calls, video calls, texting. and conference calls give access to the connection with oeople"
376,"BSc(Information
Technology)",Cyber Laws,UGIT607,National,"Cyber security is important because it safeguards individuals
and organizations a2ainst cvber attacks."
377,BSc (Mathematics),CALCULUS-I,UGMT101 ,Global ,Provide a foundational understanding of mathematical reasoning and critical thinking
378,BSc (Mathematics),ALGEBRA!,UGMT102,Local ,Develop precise and clear arguments
379,BSc (Mathematics),MATHEMATICAS PRACTICAL-I,UGMTP0l ,Global ,Develop hand-on skill
380,BSc (Mathematics),CALCULUS II ALGEBRA II,UGMT201 ,Global ,It empowers students to understand the concept of change and applications of the derivatives
381,BSc (Mathematics),MATH PRACTICAL II,UGMT202 ,Global ,Empower students to solve complex problems in mathematical ways
382,BSc (Mathematics),MATHS- MULTIVARIABLE CALCULUS - I ,UGMTP02,Global,"Analyze and predict trends in financial markets, assess risk. and make informed investment decisions."
383,BSc (Mathematics),MATHS - ABSTRACT ALGEBRA- I,UGMT301,Regional ,Understand the behavior of systems.
384,BSc (Mathematics),MATHS - ORDINARY DIFFERENTIAL EQUATION,UGMT302,Local ,Understand and work with algebraic structures.
385,BSc (Mathematics),MATHS - FOUNDATION OF MATHEMATICS,UGMT303,National,Analyze and design the Systems for their stability and performance.
386,BSc (Mathematics),"PARTICAL - III (UGMT301, UGMT302, UGMT303)",UGMTSEC301,Global,Developing critical thinking and problem-solving skills
387,BSc (Mathematics),MATHS - INTEGRAL CALCULUS,UGMTP03,National,Describe the behavior of physical systems
388,BSc (Mathematics),MATHS - LINEAR,UGMT401 ,Global ,Build foundational mathematical skills and nurturing critical thinking
389,BSc (Mathematics),ALGEBRA- I,UGMT402,Global,Computation of eigenvalues and eigenvectors are essential for understanding and working with data
390,BSc (Mathematics),MATHS - PARTIAL DIFFERENTIAL EQUATION,UGMT403  ,Global,Predict and understand the behaviour of system in various fields
391,BSc (Mathematics),MATHS- DISCRETE MATHEMATICS PRACTICAL - rv,UGMTSEC401,National,Recognition of data patterns and classification.
392,BSc (Mathematics),"(UGMT401, UGMT402, UGMT403) MULTIVARIABLE CALCULUS II",UGMTP04,Regional,Essential of accurate measurement
393,BSc (Mathematics),LINEAR ALGEBRA,UGMTS01      ,National,Deep understanding of integration and its applications in various fields
394,BSc (Mathematics),PRACTICAL OF UGMT501 & UGMT502 TOPOLOGY OF METRIC SPACES,UGMTS02,Global,Build essential problem-solvingskills and develop a deeper understanding of mathematical concepts.
395,BSc (Mathematics),NUMERICAL ANALYSIS I,UGMTPS0S   ,Global,Understand the stability of the surface
396,BSc (Mathematics),PRACTICAL OF UGMTS03,UGMT503,Global,Measuring the distance between any two objects in n- dimensional spaces
397,BSc (Mathematics),PRACTICAL OF UGMT504,UGMT504,Global,Extracting insights from massive amounts of information with approximation.
398,BSc (Mathematics),Python!,UGMTP506,Global,"Studying the  properties of spaces, continuity, and convergence."
399,BSc (Mathematics),Python I Practical,UGMTS0ACS,Local,Provide technological litracy
400,BSc (Mathematics),BASIC COMPLEX ANALYSIS,UGMTPS0ACS,National,Prepared skilled workforce for IT and  Software development in Industry
401,BSc (Mathematics),ALGEBRA,UGMT601,Global,Deeper understanding of mathematical concepts
402,BSc (Mathematics),PRACTICALS OF UGMT602,UGMT602,Global,Understand and apply algebraic structures to various systems
403,BSc (Mathematics),PRACTICALS OF UGMT601,UGMTP601,National,"Navigate and visualize geographical data, addressing global needs for accurate maooing and navigation."
404,BSc (Mathematics),TOPOLOGY OF METRIC SPACES AND REAL ANALYSIS,UGMT603,National,"Understand the concepts like continuity, convergence, and limits"
405,BSc (Mathematics),NUMERICAL ANALYSIS II,UGMT60A4 ,Global  ,Estimate intermediate values between data points
406,BSc (Mathematics),PRACTICALS OF UGMT603 & UGMT604,UGMTP602 ,Global,"Design efficient algorithms for optimization problems, image processing"
407,BSc (Mathematics),Python II,UGMT60ACS,Regional,Identify the Mathematical pattrens of the system through nvthonlan£Uage
408,BSc (Mathematics),Python II Practical,UGMTP60ACS,National,Fullfil the  industrial need of the  programming language
409,BSc (Biotechnology),Basic concepts of Biology,UGBTC101,Global,Helps in sustainable environmental management for global development
410,BSc (Biotechnology),Basics of Microbiology,UGBTC102,Regional,Helps in enhanced human health
411,BSc (Biotechnology),Environmental sciences 1,UGBTAEC101,National,Helps in Sustainable environmental management
412,BSc (Biotechnology),ACC SeLf Development,UGBTACC1,Local,Personality development can help in local development by increasing civic engagement and social cohesion
413,BSc (Biotechnology),Fundamentals of Chemistry,UGBTGE101,Global,"This is essential for research, development, and manufacturing."
414,BSc (Biotechnology),Biostatistics,UGBTGE102,Local,Help to improve economic productivity
415,BSc (Biotechnology),Practicals of Basic concepts of Biology,UGBTCP101,Global,Helps in sustainable environmental management for global development
416,BSc (Biotechnology),Practicals of Basics of Microbiology,UGBTCP102,Global,"These tools and techniques we need to diagnose and treat diseases, conduct research, and develop new products and
technololries."
417,BSc (Biotechnology),"Practicals of Fundamentals of
Chemistry",UGBTGEP101,Global,"This is essential for research, development, and manufacturing."
418,BSc (Biotechnology),Practicals of Biostatistics,UGBTGEP102,Global,Help to improve economic productivity
419,BSc (Biotechnology),Fundamentals of Biotechnology,UGBTC201,Global,Help to create a more sustainable and equitable future
420,BSc (Biotechnology),Biochemistry-1,UGBTC202,Global,Essential for human health and knowledge of this is important for development of new drugs and vaccines
421,BSc (Biotechnology),"Environmental sciences-
II",UGBTAEC201,National,Helps in Sustainable environmental management
422,BSc (Biotechnology),Ace self development,UGBT ACC 2,Local,This can help in local development by increasing civic engagement and social cohesion
423,BSc (Biotechnology),Fundamentals of computers,UGBTGE201,Regional,"Help to protect critical infrastructure, promote economic
growth, protect citizens and businesses from cyber crime, and create jobs"
424,BSc (Biotechnology),Fundamentals of Physics,UGBTGE202,Global,"Help to improve healthcare, agriculture, environmental protection, and education around the world."
425,BSc (Biotechnology),Fundamentals of Biotechnology,UGBTCP201,Global,Help to create a more sustainable and equitable future
426,BSc (Biotechnology),Practicals of Biochemistry-1,UGBTCP202,Global,Essential for human health and knowledge of this is important for development of new drugs and vaccines
427,BSc (Biotechnology),"Practicals of
Fundamentals of   1
computers",UGBTGEP201,Global,Useful in data analysis
428,BSc (Biotechnology),Practicals of Fundamentals of Physics,UGBTGEP202,Global,Essential for human health and knowledge of this is important for development of new drugs and vaccines
429,BSc (Biotechnology),Cell Biology,UGBT301,Global,Knowledge of this is important for the development of new drugs and vaccines
430,BSc (Biotechnology),Genetics,UGBT302,Global,Knowledge of this is important for the development of new drugs and vaccines and also study the evolution
431,BSc (Biotechnology),Molecular Biology and Instrumentation,UGBTC303,Regional,Knowledge of this is important to understand the central dogma of life
