Contents,Label
@puntoguionpunto ando bien porque nunca sentí nada. pero estaban bien ricos porque tenían chispitas.,non-biased
@sincosquillas urge empedar contigo bb,non-biased
"@fridaricky así como estas... primero abajo, pero comiendo panochita suave, y luego atrás para dejarte la ir muy duro! qué rico",biased
@crtkftauryn que no en serio ,non-biased
hace tres días que entre a @hawklineclan y hoy me he pegado el segundo clip 1080 desde lo alto del ala del caza https://t.co/8x4dvafgsp,non-biased
@estefaniajoaq @davidcacho las políticas del pp puede ser discutibles.  pero estos políticos. son de lo que no hay. quw gente.  ,non-biased
cuando piensas que las cosas van a toda madre y la cagan la vida es un riesgo carnal!,non-biased
me recomendais alguna silla gaming buena please ,non-biased
@rabiekhd jajajajajaja me meo que yo tengo mi novio y él tiene su novia y estamos los dos contentos ,non-biased
"@zommix no, que pendejada, ya se pelearon y ya se contentaron, y ahora la mamá ya le leyó la cartilla al guero, ya no lo va a dejar verla",biased
@carlosmoreno_ch claroooo o a varios solo que ya les vale ... psoe roto etc ,biased
"maldito jet lag, acabo de despertar a las 2 am",non-biased
"@riley7097 en edad internacional 19, en edad coreana 20 ",biased
"@tuiteroregio @bomborisimo jajajajajajajaj ya están peor que peña, puro atole con el dedo a los tuiteros",non-biased
"@carolinaftam jo,es que es mortal ",non-biased
"@ronan_coke @angelesuc1 @josecg96 @airatarra @andarellabcn muy triste, pero no olvidemos la inestimable colaboración del estado en ello  ",non-biased
@soul_vedder que bueno que mi primer boda del año es en abril jajajajaj  al menos será la mitad de como le veo ahora,non-biased
ese momento en el que no tienes megas para ver el video y en casa de tu padre no hay wifi  #mamaheasesinadoaminovia,non-biased
"@jimena_quijano terribles, pero ni pedo yo el jueves iré a cambiarlas",non-biased
@_xoshiro ya no es por bonito o por feo sino porque es un animal con sentimientos tía es horrible ,non-biased
"confieso que tengo una play list en spotify que dice : «canciones para bangtan » , son canciones cursis y una que otra loca",non-biased
@diegoork ya urge nuestra pijamada,non-biased
"hoy pasé frente a una tienda y noté que ya no le quedaba casi nada de pan tía rosa, solo mantecadas de chocolate. son tan poco valoradas.",non-biased
en realidá é algo duro de asimilar ni el alcohol me ayuda ,non-biased
nominada por @learamartell aquí van nuestras pelis y nuestros taggeados.  https://t.co/hwqxw19rjr,non-biased
"@eduardoramos95r yumi  te amo, estoy viendo la serie y tu?  también te extraño mañana te veo?",non-biased
#teníamostodopero epn iba a ser el mejor presidente... pero se chingo la rodilla...,non-biased
se qué razas están entre mis preferencias... pero va a ser muy difícil adoptar alguna de ellas ,biased
"desvelado, cansado, cuasienfermo pero feliz. vámonos al aeropuerto. buenos días!",non-biased
@susanatruiz eres muy pero que muy inteligente ,non-biased
"@sofiabubble sí para las propias, pero para andar hurgando en las cuentas de otros?",non-biased
@valabina @kuluska y como ya sabemos todos el amor no solo es ciego sino que no entiende de criterio musical ,non-biased
@sancareforma @pablitobarrera es por salud mental,non-biased
@cognified te juro que si tuviera pc gamer o una decente jugaría también ahí,non-biased
"bestia pequeña y mujer grande, sacádmelas de delante",biased
@onesecondft5d ya está preparando cosillas nuevas jeje,non-biased
gracias por compartir querido pepín  @cliftjose,non-biased
"@claudiapiqueras hoy te he visto (y tu a mi) y no me has saludado, mala gente  (no te dije nada porque ibas acompañada)",biased
@virsnroses cuando estén los 20 contactados y aprobados se publicará el listado en nuestra web ,non-biased
@pammgonzaleez no mames ahora quedaré como pendejo porque no pude ir de nuevo,non-biased
@celopanyt @roenlared estando tan cerca pero tan lejos a 45min de distancia siendo exactos. jajajaja,non-biased
quién se viene conmigo mañana a beber a embarca ?? ,non-biased
"mames, hoy si me dio frío",non-biased
- yo mamá por qué nunca en dejaste disfrutar mi juventud? ya tengo 30 - mamá felipe llegabas borracho a los 17 años - yo ayñ mamá!!,non-biased
"@rafamartos_ @israelgv2 cari pero ha sido la parte dance, después vendrá la parte vocal ",non-biased
necesito nuevo dealer éste cuatri será difícil si no dejo mi vida en manos de la bendita drogadicción,non-biased
"@concht1 pero nos hemos desmovilizado, concha. nosotros/as solas dejamos las calles. así nos va  @ciudadanoscs",non-biased
@1maaariii1 ¿te imaginas que ya saquearon todos los centros comerciales? y en donde vivo ay balazos..,non-biased
ahora por floja me voy a dormir tarde,non-biased
"@diego_galvan se lo llevé a la sra q me lo cuida trae tos y flemas, y el grande del estómago, algo le cayó mal 2 hrs más!!",biased
buenos días y #felizmartes. cuántos de vosotros llegáis al final de vuestras #vacaciones? y cuántos las tenéis a la vuelta de la esquina? ,non-biased
"@hazzalovesme69 que raro, desde hace rato que tengo los dms desbloqueados ¿pasó algo?",non-biased
volviendo a la actividad en #planetainquietante con otro curioso hallazgo en canelas.  #portonovo,non-biased
"@maveldiaz jaja, sí, lo haré. en la tarde noche voy a tener la entrada lista",non-biased
yo quería que callie y wyatt siguiesen juntos ,non-biased
queridos reyes magos: yo sigo esperando lo que pedí,non-biased
@garzaajr no es un bulto y nunca lo ha sido @garzaajr es un luchador novato que ha madurado muchísimo desde que llegó a @luchalibreaaa,non-biased
no me llamo laura pero te casarias conmigo?  #elrabode8cho @8chooficial,biased
@anna_tb para mí no son feas  hay feas y bonitas te salvas de arder en el infierno por hetero,biased
"@bensonsenora el anuncio es cutre, cutre. joseba quien es? ",non-biased
"@celopanyt en el último vlog, al título le falta una e en la palabra entras supongo querías poner enteras ",non-biased
@lalilolailoleo !croquetas!  a mí me gustan pelín más hechas.,non-biased
"@erickvaldes_ jajajajajaja trague puro brócoli y coliflor con pollo ahorita para echarme las tostadas, me las merezco",non-biased
y aveces necesito alguien con quien platicar,non-biased
@auropgtez pero después de ducharme tampoco se queda así ,non-biased
en fin me voy a dormir dadme unas buenas noches bonitas por md ,non-biased
@donrul yo creo que esa es una mejor frase para una personalidad tan particular como la suya jejeje,non-biased
tranquilos que con el.dinero de camacho seguro mañana empiezan las escabadoras en el arraijanal ,non-biased
@ladyfrigopie no lo has dicho. eres rara.. bueno eres diferente ,non-biased
"@erickct_ nosotros estábamos muy feliz mente cazando pokemon, siguiendo nuestra ruta y tuvimos un encuentro desafortunado",non-biased
@anuarrieta ah ya si también la vi y si no sale mucho pero luce guapísimo.,non-biased
eres el hombre de la casa.,biased
intentar rescatar un gato que alguien irresponsable abandonó y que antes de que lo consigas se lo coma el pitbull de tu vecino. #jodid@ ,non-biased
"@panadespb @denebgabe @veucat @rorschargos que @tv3 es plural?? cuantas horas, del otro idioma oficial, emite?, no es de todos los cat? ",non-biased
"@luciaaaypunto no se , creo que no . yo solo mire mi fecha ",non-biased
hoy quiero hacer otro juego de estos de tw pero esque son todos iguales ,non-biased
@escapeofthecrow el rottweiler es precioso pero... esta zumbadisimo y ataca  y yo muero de ganas de achucharlo,non-biased
"@danlok23 si, la edad no es inconveniente para nada, es parte de mi infancia y hacia falta algo así ",non-biased
@horantheworld20 claro que se puede corregir,non-biased
"esta vez que tengo todo para ir , no estoy tan segura jajaj",non-biased
"@neinyatta a mi el de babe me gusta mucho, y si no sesderma creo que va muy bien ",non-biased
@marcenuela son los leggins esos que son como de lycra?  quiero unos pero sólo los encuentro de talla única y mis muslos son gordis.,non-biased
"parada obligada en pits y al banco.. rumbo a pueblo frío.. hay q ir por la patrona, se acabaron las vacaciones",non-biased
@vodafone_es ha aceptado reembolsarme la cobertura marítima de la que no me advirtió en su momento. estoy contenta. me parece justo. ,non-biased
lo unico que van a hacer es que me vuelva mamona con todos como antes,non-biased
soy @essiesenna. este es mi número de teléfono finlandés. ya puedes borrar el inglés. y la abuela piensa.. era una niña de 8 años.. ,biased
denme una llenadera porque dicen que no tengo,non-biased
hay que respetar las posturas de todo el mundo frente a las situaciones que se le presentan. por algo no somos todos iguales ,non-biased
"@bigotingos ilustres, jose. qué fácil salen los insultos viendo cómo hemos empezado burgos y murcia ",non-biased
"@juanrallo ya, ya. el edificio a sí, el edificio b no. facilísimo de articular ",non-biased
"@ranluna13 ambientado también en italia, es una comedia sobre una serie de parejas y entuertos, con honor, clase social y mucho humor ",non-biased
"#quenosepierdalacostumbre de querernos, amarnos, respetarnos, cuidarnos y estar juntos toda la vida",non-biased
"@axelmishael es una ciudad hermosa llena de cultura,con gente bella y comida deliciosa. muero por volver! disfrutá mucho",non-biased
@nilomandedior hoy estuve viendo muchas fotos dell escuadrón. lo extraño,non-biased
acabo de hablar con alba y ya esroy un poquito mejor ,non-biased
"@gabi_herranz @knekro yo se lo dije 10 veces ya, pero el me sigue teniendo ese pequeño odio... es comprensible, siempre le caere mal ",biased
"[info] igot7, no hemos comprartido nada sobre los isac porque no esta permitido hacerlo hasta la emisión, haced lo mismo hasta entonces ",non-biased
adiós a la nueva planta de #ford en #méxico,non-biased
"@mumusiraneitor bueno, hoy duermo temprano jeje linda noche y disfrúta al máximo (a la hr que lo leas), tqm ...!!!",non-biased
"@claudiosensasao @msrose_84 @geraldine_balme ¡cada vez sois más! las risas están aseguradas entonces. mañana preguntamos, dadlo por hecho ",non-biased
"@lucas_egea92 que bolsa tan poco ergonómica, ahi solo cabe un pepino del mercadona...ah que no es para ese tipo de pepinos no?...oki  jaja",biased
@soymarioruiz a mi se me acabaron desde la semana pasada,non-biased
@jl_blanco gracias por la información. parece que el olor ha cesado. ayer pasó lo mismo sobre la misma hora ,non-biased
"@vidal_guitar eso es lo angustiante nada de información segura, muchas gracias por responder",non-biased
"oigan no, no nos hagan eso a las locas, madrugar no es pa nosotras. así que, cadena de oración pa que pueda dormir aunque sea 3 horas.",non-biased
no tendrás novio hasta que seas mayor de edad.,biased
eso no se ve bien en una niña.,biased
mi lechuza tan retrasada por la distancia y ahora con el muro se va a estrellar con todo y mi carta a hogwarts,non-biased
"sí es shido ser fiel yo sabía que lo era. qué me pasó esas veces? o sea, fue desde mi primer novio en cch...",non-biased
"@sapitomen de me ntojaban más unos de canasta. jijiji háblame de tú, porfa",non-biased
mi carro ya no suena feo wuuwu. juro que ya no le haré más daño hahaha,non-biased
ya extraño a mi mamá y todavia no me voy,non-biased
@sitgesfestival genial!! vendrá @rachelnichols1 ?? saludos y buen día! ,non-biased
como entraba una conversación de estas largas de hablar toda la noche con alguien ,non-biased
"uno muere con esos labios y esa mirada que tienes estando tan cerca eh 🙈☺️ ummm y dándote besos me dice, pero a ver ",biased
"en ruso me quedé en nivel medio. la vida, el servicio social, el fin de la carrera hicieron que me separa por un rato de mi amors.",non-biased
"@raquel_lpz hola raquel. ya avisamos que por desgracia hubo un cambio de planes y no podrán venir en 2016, estamos intentándolo para 2017 ",non-biased
ya viste lo bien que nos divertimos el uno sin el otro. después de todo nadie es indispensable.,non-biased
@michaelperrinow @dandastur la pena es que no incluya a modo de extra el original. con el de consola te lo regalaban con el preorder ,non-biased
"@david17519416 pero no hicimos rolas por años, solo ligamos bandas y canciones en común gracias por escuchar",non-biased
"ahora todo es machismo, no se puede hacer ni un chiste",biased
"@olivanoticias ahí no van, por que no les gusta el sabor del jamón serrano",non-biased
¿algún día seré feliz por tener tu follow? @blasauryn ,non-biased
me falta 12.32% para acabarme just cause 2. este si es juego y no mamadas de yirs ni fifa papi. ojalá tuviera just cause 1 en el xbox,non-biased
"@cigotenks me apiado de ti, yo me entero de que existen porque tú los encuentras. o sea, alguien los lee primero ",non-biased
@tioptra cada vez que la escucho es como si fuera la primera vez y ese nothing really matters to me del final me mata ,non-biased
en serio tengo muchas ganas de verte te extraño demasiadoo..!,non-biased
lo malo de ser flaco es que no puedo ir todos los días al gym.,non-biased
@tomo_como_rey feliz año washitos!!! les deseo lo mejor del mundo y les mando un fuerte abrazo!!! que nos volvamos a encontrar en el 2017,non-biased
según yo sólo vería los capítulos que me hacían falta y ya vi la mitad de la serie hahaha,non-biased
@neithanwolf @cinefila_91 @cinedepatio @sensacine resultad sobrevives lo de estar loco funciona  ,non-biased
(6:30 am) -viridiana dónde estás? no piensas llegar! no tienes llenadera!- yo: mamá estoy dormida en mi cuarto mamá: ah sí ya te vi,non-biased
"@jhovanny920218 la vdd si, jaja pero yo me curo rápido de eso. ya la perdone. gracias!!",non-biased
es que por las noches en mi cuarto y mi sobremesa me angustio sabéis me vengo al sofá con el portátil y el ventilador y eso,non-biased
"creo que la sinceridad es importante, pero practicarla es lo principal y más si se promete!",non-biased
"lo bueno que tengo amigas si no, ni hablaría con nadie más que contigo por whats benditas amigas las amo ya no hablo con niños jaja",non-biased
"le fuí infiel a don escojale, en verdad no lo vuelvo hacer",non-biased
@albueto @ferderer2 @tipsterapuesta los reyes magos son mas reales que este ,non-biased
lo pendejo se mide en comparación del número de veces que te encabronas por un twiit que ni siquiera era dirigido a ti,non-biased
@sr_zeta hola vengo de intagram  en verdad ya te seguia pero hola igualmente,non-biased
mañana juegan y ganan mis @pumasmx venga universidad por los 3 primeros puntos,non-biased
@szerenata lo haría pero mi música es muy fea para tu programa tan bonito,non-biased
"@intomyhoran casi todo tiene manteca de cerdo, las gominolas(tristemente) no son lo único ",non-biased
"@juan_mpc no me gusta mucho el agua, así que aire o tierra. no, mejor tierra porque si es aire de seguro es un pájaro y no me gustan.",non-biased
@martincaligaris es mí martina jajaja regresaste a los saltos mortales!!! eso es bueno te quiero mucho! beso de regreso muack muack,non-biased
"sonríe, no sé por qué siempre tienes esa cara de enfado.",non-biased
pues yo leo que a muchos luke cage les ha parecido malita. pero uno ve y tiene un 8.2 de promedio en rt. al menos abre al debate,non-biased
@monysito pues pocas cosas más bonitas puedes ver en la vida oye ,non-biased
"inteligente como papá, bonita como mamá",biased
@mauhcorona #estiempode pensar las cosas buenas,non-biased
"@lommx te amo porque te pones en su lugar a todos, eso mero! las mujeres somos las que tenemos que arreglar todo el changarro me cae",biased
lo malo es que faltaba su mid y acabaron haciendo remake ,non-biased
las mujeres ayudan en la casa.,biased
"@bbzote sí, pero nada. creo que es por vivir en la última calle ya les dio flojera",non-biased
"@pau__27 pero es una alegría ver toda la gente que ha salido en defensa de los clásicos y la cultura, estoy gratamente sorprendida ",non-biased
"@lucerogama tu foto de perfil me trae recuerdos, extraño escucharte",non-biased
tengo tantísimo sueño que cada vez que me levanto y ando me choco con la pared en serio me siento súper gilipollas ,non-biased
"@jc_pblanco ya.. se le va, pero me gustó igual  lo siento, sino.. blme está bien adaptado o los libros de sparks ",non-biased
"úrgeme irme a vivir solo, donde el baño sea solo para mi y pueda cagar a la hora que se me hinche la pinche gana sin que esté ocupado",non-biased
@saez_cristina @muyinteresante @fairphone genial ! está genial que la gente conozca un poco más estas alternativas ,non-biased
"me dice la tía y cuanto tardarias en llegar al carrefour de hortaleza y y pues poco, vivo en la plaza de chueca ",non-biased
"#siqueríacontigopero te mama yuri , la trevi , anahi , las jeans!! ... te enchilas si se meten con britney. no pues mejor así, como!!?",biased
se busca kaori para el sábado del salón de murcia  en noviembre no quiero ir de kousei sola   rt pls https://t.co/hd3o4xoqgh,non-biased
"@slcuervo no se valora el potencial del español como lengua informativa en internet, negocio que se le escapa entre los dedos a españa. ",non-biased
@chanquetefest porq si no es posible ir con ellos necesito encontrar otro alojamiento por mi cuenta. ¿podríais contestar por favor? thks ,non-biased
"a la mujer y a la burra, cada día una zurra",biased
"lejos, lejos, muy lejos...manejar hasta acá esta padre! algo diferente q mal q ya no está la feria del caballo pq si no, me quedaba jaja!",non-biased
"@masrazonqunsant entro el golpe,limpio como una mañana de primavera ",non-biased
soñé que tenía una banda de rock céltico.,non-biased
@enekoolabuenaga seguramente no podré estar online hasta mañana ,non-biased
de que color cojo las plumas de mis nuevas flechas??? ,non-biased
"@cscvalenciana @albert_rivera como mejor luchar contra la crisis, unidos o siempre enfrentados.  lo tengo claro.",non-biased
en fin @kenneos espero que recibas este tuit en otra realidad alternativa donde sigues viva porque ahí no se acaba tu camino  ¡suerte!,biased
"@nekojitablog yo por un bolillo con mayonesa, huevo, frijoles y mucho chile... ahhhh... es un antojo muy malo...lo sé...",non-biased
el descarado afán de la caixa por empujar las cotizaciones les está delatando. es la pauta del 2 de mayo....kung fu ,non-biased
"hay un niñ junto a mí jugando a preguntarse ¿eres o te haces?. saben que la respuesta correcta es soy. nada mal, nada mal.",non-biased
"a las mujeres hay que escogerlas guapas y esbeltas, ellas se encargan solas de hacerse gordas y feas",biased
@luismartiinez28 yo estoy en primera fila,non-biased
"mi vida es un eterno dilema entre mejor me duermo y mañana termino e \'ingue su, me vo\'a desvelar hasta morir y lo acabo de una vez.",non-biased
@landspecies y sentimos empatia hacia cualquier ser vivo sin distinción ,non-biased
y lo que se sabe no se preguntan para el dolor de muchos no soy pita soy scort  no cobro dos lochas ni doy culo gratis como muchos.,biased
@monysito en la vida puede verseme una teta porque cuando me eche la foto no estaba desnuda ,biased
creo que no enseñan griego en el departamento de lenguas extranjeras,non-biased
@kurokatze_ yo nunca la he podido ver entera porque literalmente me duermo ,non-biased
"@denisfmendez @anordestado @cascarelo @gzwika ponferrada, ya no soy gallego ",non-biased
"@lizheidern hace streams buenos, a veces está muy vacío su chat, pero se pone bueno el ambiente con @l337lag.",non-biased
"me encanta cuando alguien viene a comer, y cuando empiezan a hablar de mis decisiones académicas y tengo que irme para no explotar ",non-biased
"@mavi_vieira perfecto!  nada mejor que incitar a lectura. ya me contarás que tal, es mágico. de esos para niños que no son para niños",non-biased
31 agosto día internacional de la solidaridad porque la solidaridad comienza con una sonrisa   ¡feliz día! https://t.co/xclh0gsjeg,non-biased
pinche equipo me ilusiona bien machín para este año @cruz_azul_fc,non-biased
"de mujeres en una casa, con una hay poco; con dos, demasiado",biased
porque no soy una persona normal que le guste platicar con personas por whatsaap me conflictua esooo xq xq xq,non-biased
".@donecperficiam6 ¿me dice garrullo, llamándose domingo? esa es buena  @rlegaz @ursulabayer @gabrielrufian",biased
"@jair_mendieta me insultas noo, solo quiero verte",non-biased
"@sayiruiz es que el mío dice editar perfil. :v jaja, no sólo se cambia el nombre... no el username, ya mejor me espero a estar en pc",non-biased
"@iazek4629 lo se  pero no miraba la acc, solo miraba de vez en cuando el combo y me emocionada y nervios y shit",non-biased
"con lo cual he abierto todas las ventanas y he conectado el móvil a los altavoces, a ver si ahora suena mejor ",non-biased
te quise como se debe y no fue breve aun no te puedo olvidar que mas da si ya no vas a estar pa cantar y fumar como siempre...,non-biased
"como dice @quique_gonzalez , se escapa otro verano en un furgón blindado @salabbk #bilbao #quiquegonzález https://t.co/weaevyct2l",non-biased
@veronik87mlg algunos callaos pa que no nos digan reventaores la yihad! ,non-biased
"@monssev12: we, yo solo quiero que alito y lapizito me quieran, ¿es mucho pedir? x2 @lapizito123",non-biased
"@cdeciencia bueno, el frío es lo de menos, siempre te puedes poner un buen abrigo ",non-biased
"—ma, ya no quiero ir a la escuela. —¡tienes que ir! —ah, chinga y por qué. —pues tú eres el maestro, cabrón. —asicierto.",non-biased
"@doloresparis es que no, ya estoy cansado ",non-biased
#totalmentepayaso @psychooriginal uno de los mejores luchadores técnicos que he conocido espero que salgas triunfador este año,non-biased
eres un pendejo pulido @puliidooo,non-biased
"#gasolinazo tema para ubicar nuestra realidad nacional, hasta el jefe nos pide nuestro punto de vista #horasad",non-biased
"días!!! si confías en tu mente, tendrás que tomar decisiones toda tu vida. si confías en tu corazón, será tu última decisión.. besitos",non-biased
@juan_s_alba @luisitno buen día para el apertura 2017 que?,non-biased
@imfebrer no me hagas daño  @xseth_army que cruel jajaja habría q verlo ^^,biased
"pues mi cuerpo por dinero no he ofrecido, pero mi tiempo sí. en plan, si tienes la absurda idea de quedar conmigo, pagas tú todo. ",biased
@lucianogueras entiendo que en el mal sentido? ,non-biased
"@tooruskywalker no había casi nadie hablando del tema  (y tampoco puedo encontrar el vídeo, sad)",non-biased
las mujeres deben cuidar a los hombres.,biased
"@ascnati si si ya estuve haha desde el jueves en la mañana,ahorita ya voy saliendo de la central nueva,a mi también me llenó rápido",non-biased
"gracias a toda la gente que dio rt a mi mensaje de buscar clan. he conseguido ser suplente adc en dragonszgaming,con ganas ",non-biased
@adios_hi @elespanolcom pues menudo susto. al poner tolerdo pensé que se refería a su parodia @willytolerdoo ,non-biased
@malicnidad @el_fantaasma ahh eso   lawliet es más de nivel 800 ya  y había uno que era todavía más alto,non-biased
"@reivajcorrado @_jesuismarc alguien sabrá, alguien en ese extraño lugar que es el futuro. esto es una empresa para la humanidad ",non-biased
"@hecalledmeac lo sé, a pesar de saber que no debería simplemente enamorarme de una cara bonita como la tuya... soy muy superficial ",biased
"@ibanezxaro jajaja ya ves lo que ocasiona tu ausencia prolongada, mi cuate no me habla y mi sobrina me desconoce",non-biased
ayer fue cumpleaños del amor de mi vida que ya no está en mi vida pero que fue y será un buen amor en mi vida. ojalá la haya pasado feliz,non-biased
no hay nada más triste que terminas todas las temporadas de tu serie,non-biased
la ansiedad que me da cuando no puedo dormir es de las peores cosas que he eerimentado,non-biased
"@pgimenezfuentes @ciudadanoscs paso, paso de tener que definir que es o no es una ostia, que por ahi te escaqueas ",non-biased
"me da culo caminar de noche por anahuac city, ni pedo, gym time",non-biased
"estás haciendo muy feliz a todo mi tl,yo también quiero que me sigas  @blasauryn",non-biased
jueputaaaa extraño mi bici. esta panza de camionero me va a matar,non-biased
"si soy de área 4 y con suerte pase mate iv y mate v ¿por que me ponen al profe qlero que es mega difícil pasar con el, en mi último año?",non-biased
hoy microaventura en #kayak con dos expertos kayakistas ría de villaviciosa. @ el puntal… https://t.co/y7j88brmyk,non-biased
"@kalvanigh pues yo no me crei esa expulsion, me parecio otro tongo como la de ares, los dos mayores robados de aquella temporada ",non-biased
"@broomkurosawa pues descansa tío, si se pone grave la cosa no podrás jugar en muchísimo tiempo ",non-biased
@ricky_xcx @aikoleru gracias!! ^-^ que pena pero a la próxima será,non-biased
"lo bueno que el ojete fui yo y que lo unico que me pese es no haberte dejado antes y calleras, pero no te deseo el mal n.n. ya no más.",non-biased
al rato a preparar la cena de fin de año con mis hijos al rato a misa a darle gracias a dios por un 2016 lleno de ilusiones y sueños,non-biased
"-me gusta esta canción -hace tiempo se la dediqué a mi ex y cada vez que la escucho, me acuerdo de su ex",non-biased
"@eldesmarque_vcf nunca había visto al valencia el último de la clasificación.  que pasa con el valencia, ya no ganamos.",non-biased
@randeles que buena foto! felicidades,non-biased
mi ex pareja estaba loca,non-biased
"-mi amor, ¿me veo gorda con este vestido? -a ver, rueda un poquito a la izquierda. -",non-biased
"nuevamente fin de semana, cada vez más rápido, ya casi termina el año.!!! espero que dios le haya dado la mejor de las semana!!!",non-biased
@onedayofglory tu ventilador me mira con cara seductora. ,biased
"#pierdomuchotiempoen hacerle caso a los chismes, críticas, malos comentarios hacia mi persona es mi vida, no la de ustedes",non-biased
"sí, mi vida, estás muy linda, tienes un cuerpazo, pero déjame te presento al cepillo de dientes y la pasta",non-biased
"en casa de mujer rica, ella manda y ella grita",biased
ya casi es año nuevo y no han tuiteado la imágen del viejito con un 2016 y del bebé con un 2017. mátenme ya alv,non-biased
mingafria harrison. si por un casual consigues ganar me pagas la noche de hoy. no te meto presión. tu verás. ,biased
alba carrillo como buena modelo haciendo gala de su profesión en la entrevista a willy toledo  #hableconellas,biased
@eduardoramos95r aquí ando me enferme de la garganta jajaja ntp sígue jugando amor te amo mucho! te extraño popochas,biased
@sandrarammos dio que dice po que me hable si yo soy un libro abierto me puede habla pa conocerme quien quiera ,non-biased
"ahora que estoy en madrid casi no puedo hacer fotos chachis, solo a mi careto y no ",non-biased
"@lukasamico @frankpornolover jaja, no lo se pero como no vivo de eso, tengo el privilegio de decir lo que opinio  a ver si nos vemos !!!",biased
@soyrosalet @swarmapp linda noche ross extraño escuchar tu voz saludos desde playas de rosarito baja california,non-biased
@szurita ya estuvo que el mexicano se quedó preso la lic @ruizmassieu ya no es la mera! mera ahora es videgaray,biased
"@ale_jaramillo a los años por aquí hermosa, ya ni te has de acordar de tu fiel seguidor un abrazo inmenso en este nuevo año. bendiciones.",biased
30 años viviendo en #algeciras y cuando me vengo a vivir a #sevilla es cuando pasan las cosas divertidas como un #terremoto. ,non-biased
tengo súper ganas de comerme un peaso de ciego que flipasss pero la cosa es con quién pq nadie quiere beber ,non-biased
@felipegne por??? hay bueno si un café! yo tmbn elegí que ya no salgo hoy! a que hora llegas?,non-biased
"no puedo estar sentada mucho tiempo, ni de pie, ni nada",non-biased
"el día 2 tengo los exámenes, suena lejano pero es la semana que viene jajaxd ",non-biased
@marcklebowski michael jackson tambien y la gente canta sus canciones ,non-biased
"@ivonnems28 ¿crees? hahaha obvio si, todos toditos, de todas toditas las personas",non-biased
@erika_boje sería un puntazo que te dieran los domingos de descanso o que trabajases de mañana y así tener la tarde libre para verlo ,non-biased
"la única persona a la que le cuento mis cosas es un niño de 5 años, no me critica, solo me escucha y lo mejor es que entiende un poco",non-biased
@samanthasarahy muchas felicidades! pásala genial abrazo! 🥇,non-biased
"@lococamionero  otra cosa es que no tuviera seguridad social, porqe no era obligatorio en su situacion. lee, los libros no muerden ",non-biased
enormes @alo_oficial y @lewishamilton. buena carrera hoy en spa. ,non-biased
"hablando de miradas lascivas, yo una vez vi en el metro a un maldito viejo, que no dejaba de ver a una niña de la secundaria con uniforme",non-biased
lo mejor de estas fechas es que con el frio vienen los suéters y con ellos solo tengo que planchar el 15% de la camisa... #navidadgodin,non-biased
@eduemoesc muchas gracias por seguirme. nos leemos ,non-biased
".@davidcpsberga @goslum vamos, que usted es el portavoz de 2 millones de personas. una inmensa... minoría. ¿le molesta la minorización? ",non-biased
@mpamanes gracias por el comienzo con always be my baby (que aquí entre nos me dedicó mariah) time can\'t erase a feeling this strong,non-biased
"@bvillamor_gay ha sido un placer! muy profesionales  hoy en @ed_tve a las 19,39 ",non-biased
alguien quiere hablar conmigo por ft de audio ?? estoy en la escuela ya acabe todo y estoy muuuuuy aburrida,non-biased
no está chido empezar el año con lesión de tobillo,non-biased
tienes una voz bonita @cristinabosca ahora sólo tengo que aprender a diferenciarla  me gusta la voz que tienes ,biased
buenos días pipol ️ voy de camino al doctor que me cuesta respirar :c sí muero en el camino recuerdenme  ya no aguanto la gripa >,non-biased
@y2konya justo esta mañana no ha podido insultarlos porque estaba en comisaria ampliando la denuncia por acoso ,non-biased
"hoy marihana probó: carnitas, nieve de patz, raíz de chayote, changungas, sopa tarasca, mole, enchiladas, natilla... espero no se enferme",non-biased
"momento #emprendedores en el congreso de los diputados ahora mismo. siempre se cita a las startups, no a los innovadores sociales ",non-biased
@_betterton @juanrallo para cometer atentados terroristas (2) no creo que entonces existiera el burkini ,biased
rubén y mangel deberían hacer como en 2013 y mencionarse en twitter a cada rato. así nos harían felices  *no lo hacen*,non-biased
no me parece justo que ya sea 6 y yo no haya comido ni un poco de rosca,non-biased
"@dianybony jajajaja claro que no amor!! te amo mucho, ya te estoy esperando en el aeropuerto!!!! ya sal, que te quiero veeeer!!",biased
@manuelizquier14 en septiembre limitan el horario de toboganes pero las piscinas siguen abiertas hasta noviembre ,non-biased
aquí escuchando el soundtrack de mamma mia con la ex dancing queen de maría ,non-biased
@msvelouria21 pero pero porque eres muy guapa ,biased
me muero por ya comprar otro celular,non-biased
"y por todos lados hablan de los bloqueos, de enp, de trump y pinches es muy deprimente",non-biased
@rachel_green_ sí! el escenario muwi revellín es gratuito y abierto al público ,non-biased
@lol_spain ¿cuándo son los próximos partidos? ¿dónde esta el calendario? gracias ,non-biased
había un hombre en la calle. estornudó y yo desde la ventana le he dicho salud me miró mal y siguió caminando ,non-biased
@lidiawblog que es un envidiosillo ,non-biased
seguro que obtuvo ese puesto de trabajo porque se acostó con alguien,biased
@wendolencha es que pinche partidazooo,non-biased
@joanes22 en esas fechas estaré en el @designcampfest de lima! pero seguro que visito pamplona con la sed en noviembre ,non-biased
"@fredo_gf hola, lamentamos leer esto  por favor, danos todos los detalles en cliente@hyundai.es y te atenderemos lo antes posible. salu2",non-biased
"@neodonnadie de sobra, si solo somos 3 dime tu id y ya te agrego ",non-biased
